time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-15 00:00:00+00:00,0,0,145,1
2023-09-16 00:00:00+00:00,1,1,130,1
2023-09-17 00:00:00+00:00,0,0,49,1
2023-09-18 00:00:00+00:00,0,0,37,1
2023-09-19 00:00:00+00:00,0,0,58,1
2023-09-20 00:00:00+00:00,1,1,392,1
2023-09-21 00:00:00+00:00,0,0,448,1
2023-09-22 00:00:00+00:00,1,1,160,1
2023-09-23 00:00:00+00:00,0,0,79,1
2023-09-24 00:00:00+00:00,0,0,187,1
2023-09-25 00:00:00+00:00,1,1,133,1
2023-09-26 00:00:00+00:00,1,1,544,1
2023-09-27 00:00:00+00:00,1,1,266,1
2023-09-28 00:00:00+00:00,173,48,910,186
2023-09-29 00:00:00+00:00,17,9,856,287
2023-09-30 00:00:00+00:00,113,15,570,72
2023-10-01 00:00:00+00:00,140,11,328,51
2023-10-02 00:00:00+00:00,95,17,238,62
2023-10-03 00:00:00+00:00,100,15,242,44
2023-10-04 00:00:00+00:00,214,30,475,59
2023-10-05 00:00:00+00:00,42,15,598,132
2023-10-06 00:00:00+00:00,147,17,436,74
2023-10-07 00:00:00+00:00,393,34,728,57
2023-10-08 00:00:00+00:00,115,29,604,66
2023-10-09 00:00:00+00:00,122,27,453,54
2023-10-10 00:00:00+00:00,79,23,414,61
2023-10-11 00:00:00+00:00,8,8,91,34
2023-10-12 00:00:00+00:00,18,11,131,36
2023-10-13 00:00:00+00:00,13,7,63,19
2023-10-14 00:00:00+00:00,38,20,30,19
2023-10-15 00:00:00+00:00,49,13,133,16
2023-10-16 00:00:00+00:00,58,15,196,13
2023-10-17 00:00:00+00:00,74,19,237,19
2023-10-18 00:00:00+00:00,40,11,241,31
2023-10-19 00:00:00+00:00,37,10,445,33
2023-10-20 00:00:00+00:00,52,10,229,21
2023-10-21 00:00:00+00:00,22,8,54,20
2023-10-22 00:00:00+00:00,56,6,100,9
2023-10-23 00:00:00+00:00,78,22,259,11
2023-10-24 00:00:00+00:00,29,11,235,23
2023-10-25 00:00:00+00:00,0,0,75,20
2023-10-26 00:00:00+00:00,3,3,64,9
2023-10-27 00:00:00+00:00,62,9,171,15
2023-10-28 00:00:00+00:00,8,4,27,13
2023-10-29 00:00:00+00:00,48,17,167,13
2023-10-30 00:00:00+00:00,22,8,100,15
2023-10-31 00:00:00+00:00,42,10,180,11
2023-11-01 00:00:00+00:00,14,10,64,7
2023-11-02 00:00:00+00:00,5,4,24,6
2023-11-03 00:00:00+00:00,12,7,52,9
2023-11-04 00:00:00+00:00,10,6,134,11
2023-11-05 00:00:00+00:00,39,12,104,5
2023-11-06 00:00:00+00:00,34,13,53,13
2023-11-07 00:00:00+00:00,34,11,122,12
2023-11-08 00:00:00+00:00,14,8,12,10
2023-11-09 00:00:00+00:00,8,4,66,13
2023-11-10 00:00:00+00:00,20,19,64,6
2023-11-11 00:00:00+00:00,20,10,10,3
2023-11-12 00:00:00+00:00,26,6,67,8
2023-11-13 00:00:00+00:00,27,9,31,10
2023-11-14 00:00:00+00:00,37,4,35,6
2023-11-15 00:00:00+00:00,23,5,15,5
2023-11-16 00:00:00+00:00,37,14,28,15
2023-11-17 00:00:00+00:00,23,6,12,8
2023-11-18 00:00:00+00:00,9,6,2,2
2023-11-19 00:00:00+00:00,33,8,24,3
2023-11-20 00:00:00+00:00,44,11,31,13
2023-11-21 00:00:00+00:00,23,6,9,5
2023-11-22 00:00:00+00:00,14,7,15,7
2023-11-23 00:00:00+00:00,4,4,6,6
2023-11-24 00:00:00+00:00,15,5,26,5
2023-11-25 00:00:00+00:00,19,9,113,4
2023-11-26 00:00:00+00:00,24,9,5,5
2023-11-27 00:00:00+00:00,16,8,12,6
2023-11-28 00:00:00+00:00,5,4,23,6
2023-11-29 00:00:00+00:00,26,6,6,2
2023-11-30 00:00:00+00:00,2,2,53,6
2023-12-01 00:00:00+00:00,4,2,52,10
2023-12-02 00:00:00+00:00,0,0,22,8
2023-12-03 00:00:00+00:00,2,2,28,5
